END_REASON_ID,END_REASON_DESCRIPTION,END_REASON_DESCRIPTION CLEAR
8,Дархан-Уул аймагт шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан-Уул аймгийн 1-р сургуульд сургалтын менежерээр ажиллахаар болсон .,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан-Уул аймгийн 18-р цэцэрлэгт ажиллахаар,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан-Уул аймгийн 21-р цэцэрлэгт шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан-Уул аймгийн Орхон суманд шилуин суурьшихаар,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан-Уул аймгийн Технизийн коллежид шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
10,Декреттэй хүний оронд түр ажиллаж байсан.,хүний оронд түр ажиллаж байсан
10,Дикериттэй хүний оронд байсан,хүний оронд түр ажиллаж байсан
10,Дикридтэй хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
8,Дорнод Бөхийн өргөөнд ажилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дорнод Казахстаны Улсын их сургуулийн Баян-Өлгий аймаг дахь сургуульд ажиллах болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дорнод аймгийн Сүмбэр сумын сум дундын эмнэлэгийн эрхлэгч,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дорнод дээд сургуульд СӨБ-ын дидактикийн багшийн сонгон шалгаруулалтанд тэнцсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дорнодын гурван загал сумын боловсролын хэлтэст,хөдөө орон нутаг руу шилжин ажиллахаар болсон
9,Дотуур байрын багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
9,Дунд сургуульд багшаар ажиллах болсон.,нутаг дотроо шилжин ажиллахаар болсон
8,Дундговь аймаг шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дундговь аймгийн 4-р сургуульд шилжин ажиллахаар болсон тул,хөдөө орон нутаг руу шилжин ажиллахаар болсон
13,Дэвшиж явсан,дэвшин ажиллахаар
13,Дэвшин ажилласан,дэвшин ажиллахаар
13,Дэвшин ажиллах,дэвшин ажиллахаар
13,Дэвшсэн,дэвшин ажиллахаар
13,Дэвшсэн ажилласан,дэвшин ажиллахаар
13,Дэвшсэн.,дэвшин ажиллахаар
9,Дэгдээхий цэцэрлэгт ажиллахаар болсон,нутаг дотроо шилжин ажиллахаар болсон
8,Дэлгэрхаан суманд ажиллахаар шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дэлгэрхангай сумын ИТХ-ын дарга,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дэлгэрцогт сумын ЭМТөвийн нягтлан бодогчоор ажилд орорх болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дэлгэрцогт сумын сургуулийн багшаар шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
13,Дүүргийн боловсролын хэлтсийн СӨБ хариуцсан мэргэжилтэн,дэвшин ажиллахаар
